Sample	Family ID	Population	Population Description	Gender	Relationship	Unexpected Parent/Child 	Non Paternity	Siblings	Grandparents	Avuncular	Half Siblings	Unknown Second Order	Third Order	Other Comments
HG01395	PR71	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01396	PR71	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01397	PR71	PUR	Puerto Rican in Puerto Rico	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01398	PR72	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01402	PR74	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01403	PR74	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01404	PR74	PUR	Puerto Rican in Puerto Rico	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01405	PR75	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01411	PR63	PUR	Puerto Rican in Puerto Rico	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01412	PR76	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01413	PR78	PUR	Puerto Rican in Puerto Rico	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01414	PR78	PUR	Puerto Rican in Puerto Rico	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01415	PR78	PUR	Puerto Rican in Puerto Rico	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01431	CLM43	CLM	Colombian in Medellin, Colombia	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01432	CLM43	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01433	CLM43	CLM	Colombian in Medellin, Colombia	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01435	CLM44	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01437	CLM45	CLM	Colombian in Medellin, Colombia	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01438	CLM45	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01439	CLM45	CLM	Colombian in Medellin, Colombia	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01440	CLM46a	CLM	Colombian in Medellin, Colombia	male	father	NA	NA	NA	NA	HG01442(niece/nephew)	NA	NA	NA	NA
HG01441	CLM46	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01442	CLM46	CLM	Colombian in Medellin, Colombia	male	child	NA	NA	NA	NA	HG01440 (aunt/uncle)	NA	NA	NA	NA
HG01443	CLM47	CLM	Colombian in Medellin, Colombia	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01444	CLM47	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01445	CLM47	CLM	Colombian in Medellin, Colombia	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01447	CLM48	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01452	CLM50	CLM	Colombian in Medellin, Colombia	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01453	CLM50	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01454	CLM50	CLM	Colombian in Medellin, Colombia	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01455	CLM51	CLM	Colombian in Medellin, Colombia	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01456	CLM51	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01457	CLM51	CLM	Colombian in Medellin, Colombia	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01459	CLM52	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01461	CLM53	CLM	Colombian in Medellin, Colombia	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01462	CLM53	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01463	CLM53	CLM	Colombian in Medellin, Colombia	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01464	CLM54	CLM	Colombian in Medellin, Colombia	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01465	CLM54	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01466	CLM54	CLM	Colombian in Medellin, Colombia	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01468	CLM55	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01471	CLM56	CLM	Colombian in Medellin, Colombia	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01473	CLM57	CLM	Colombian in Medellin, Colombia	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01474	CLM57	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01477	CLM58	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01479	CLM59	CLM	Colombian in Medellin, Colombia	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01480	CLM59	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01481	CLM59	CLM	Colombian in Medellin, Colombia	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01482	CLM60	CLM	Colombian in Medellin, Colombia	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01483	CLM60	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01484	CLM60	CLM	Colombian in Medellin, Colombia	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01485	CLM61	CLM	Colombian in Medellin, Colombia	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01486	CLM61	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01487	CLM61	CLM	Colombian in Medellin, Colombia	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01488	CLM62	CLM	Colombian in Medellin, Colombia	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01489	CLM62	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01490	CLM62	CLM	Colombian in Medellin, Colombia	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01491	CLM63	CLM	Colombian in Medellin, Colombia	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01492	CLM63	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01493	CLM63	CLM	Colombian in Medellin, Colombia	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01494	CLM64	CLM	Colombian in Medellin, Colombia	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01495	CLM64	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01496	CLM64	CLM	Colombian in Medellin, Colombia	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01497	CLM65	CLM	Colombian in Medellin, Colombia	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01498	CLM65	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01499	CLM65	CLM	Colombian in Medellin, Colombia	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01500	IBS001	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01501	IBS001	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01502	IBS001	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01503	IBS002	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01504	IBS002	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01505	IBS002	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01506	IBS003	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01507	IBS003	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01508	IBS003	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01509	IBS004	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01510	IBS004	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01511	IBS004	IBS	Iberian populations in Spain	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01512	IBS005	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01513	IBS005	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01514	IBS005	IBS	Iberian populations in Spain	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01515	IBS006	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01516	IBS006	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01517	IBS006	IBS	Iberian populations in Spain	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01518	IBS007	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01519	IBS007	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01520	IBS007	IBS	Iberian populations in Spain	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01521	IBS008	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01522	IBS008	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01523	IBS008	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01524	IBS009	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01525	IBS009	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01526	IBS009	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01527	IBS010	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01528	IBS010	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01529	IBS010	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01530	IBS011	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01531	IBS011	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01532	IBS011	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01536	IBS013	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01537	IBS013	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01538	IBS013	IBS	Iberian populations in Spain	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01550	CLM66	CLM	Colombian in Medellin, Colombia	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01551	CLM66	CLM	Colombian in Medellin, Colombia	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01552	CLM66	CLM	Colombian in Medellin, Colombia	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01556	CLM68	CLM	Colombian in Medellin, Colombia	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01565	PEL001	PEL	Peruvian in Lima, Peru	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01566	PEL001	PEL	Peruvian in Lima, Peru	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01567	PEL001	PEL	Peruvian in Lima, Peru	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01571	PEL003	PEL	Peruvian in Lima, Peru	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01572	PEL003	PEL	Peruvian in Lima, Peru	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01573	PEL003	PEL	Peruvian in Lima, Peru	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01577	PEL005	PEL	Peruvian in Lima, Peru	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01578	PEL005	PEL	Peruvian in Lima, Peru	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01579	PEL005	PEL	Peruvian in Lima, Peru	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01583	PK02	PJL	Punjabi in Lahore,Pakistan	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01586	PK03	PJL	Punjabi in Lahore,Pakistan	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01589	PK04	PJL	Punjabi in Lahore,Pakistan	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01590	PK04	PJL	Punjabi in Lahore,Pakistan	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01593	PK05	PJL	Punjabi in Lahore,Pakistan	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01594	PK05	PJL	Punjabi in Lahore,Pakistan	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01595	VN001	KHV	Kinh in Ho Chi Minh City, Vietnam	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01596	VN002	KHV	Kinh in Ho Chi Minh City, Vietnam	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01597	VN003	KHV	Kinh in Ho Chi Minh City, Vietnam	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01598	VN004	KHV	Kinh in Ho Chi Minh City, Vietnam	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01599	VN005	KHV	Kinh in Ho Chi Minh City, Vietnam	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01600	VN006	KHV	Kinh in Ho Chi Minh City, Vietnam	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01601	IBS024	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01602	IBS024	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01603	IBS024	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01604	IBS023	IBS	Iberian populations in Spain	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01605	IBS023	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01606	IBS023	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01607	IBS022	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01608	IBS022	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01609	IBS022	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01610	IBS021	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01611	IBS021	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01612	IBS021	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01613	IBS020	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01614	IBS020	IBS	Iberian populations in Spain	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01615	IBS020	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01616	IBS019	IBS	Iberian populations in Spain	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01617	IBS019	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01618	IBS019	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01619	IBS018	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01620	IBS018	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01621	IBS018	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01622	IBS017	IBS	Iberian populations in Spain	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01623	IBS017	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01624	IBS017	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01625	IBS016	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01626	IBS016	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01627	IBS016	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01628	IBS015	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01629	IBS015	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01630	IBS015	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01631	IBS014	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01632	IBS014	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01633	IBS014	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01667	IBS025	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01668	IBS025	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01669	IBS025	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01670	IBS026	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01671	IBS026	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01672	IBS026	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01673	IBS027	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01674	IBS027	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01675	IBS027	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01676	IBS028	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01677	IBS028	IBS	Iberian populations in Spain	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01678	IBS028	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01679	IBS029	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01680	IBS029	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01681	IBS029	IBS	Iberian populations in Spain	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01682	IBS030	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01683	IBS030	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01684	IBS030	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01685	IBS031	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01686	IBS031	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01687	IBS031	IBS	Iberian populations in Spain	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01694	IBS034	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01695	IBS034	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01696	IBS034	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01697	IBS035	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01698	IBS035	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01699	IBS035	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01700	IBS036	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01701	IBS036	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01702	IBS036	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01703	IBS037	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01704	IBS037	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01705	IBS037	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01706	IBS038	IBS	Iberian populations in Spain	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01707	IBS038	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01708	IBS038	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01709	IBS039	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01710	IBS039	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01711	IBS039	IBS	Iberian populations in Spain	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01746	IBS041	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01747	IBS041	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01748	IBS041	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01755	IBS044	IBS	Iberian populations in Spain	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01756	IBS044	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01757	IBS044	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01761	IBS046	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01762	IBS046	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01763	IBS046	IBS	Iberian populations in Spain	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01764	IBS047	IBS	Iberian populations in Spain	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01765	IBS047	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01766	IBS047	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01767	IBS048	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01768	IBS048	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01769	IBS048	IBS	Iberian populations in Spain	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01770	IBS049	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01771	IBS049	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01772	IBS049	IBS	Iberian populations in Spain	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01773	IBS050	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01774	IBS050	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01775	IBS050	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01776	IBS051	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01777	IBS051	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01778	IBS051	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01779	IBS052	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01780	IBS052	IBS	Iberian populations in Spain	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01781	IBS052	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01782	IBS053	IBS	Iberian populations in Spain	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01783	IBS053	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01784	IBS053	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01785	IBS054	IBS	Iberian populations in Spain	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01786	IBS054	IBS	Iberian populations in Spain	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01787	IBS054	IBS	Iberian populations in Spain	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01789	HG01789	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01790	HG01790	GBR	British in England and Scotland	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01791	HG01791	GBR	British in England and Scotland	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01794	HG01794	CDX	Chinese Dai in Xishuangbanna, China	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01795	HG01795	CDX	Chinese Dai in Xishuangbanna, China	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HG01796	HG01796	CDX	Chinese Dai in Xishuangbanna, China	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
